,Row.names,weight,percent,V1,V2,V3,V4,V5,V6,V7,V8,V9,,,,,,,,,,,,,,,,,
1,901728,"No matter what your mood, there is something for you at this retailer!",0.5,Topic 1.1.,NA,0.991758233,0.002060442,0.002060442,0.002060442,0.002060442,0.972483179,0.009172274,0.009172274,0.009172274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,901731,That you can find stuff for every taste,0.5,Topic 2.1.,NA,0.000323704,0.998705184,0.000323704,0.000323704,0.000323704,NA,NA,NA,NA,0.988200342,0.005899829,0.005899829,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,901732,Fashionable decor,0.5,Topic 4.2.,NA,0.000218302,0.000218302,0.000218302,0.99912679,0.000218302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.009554181,0.971337458,0.009554181,0.009554181,NA,NA,NA,NA
,901739,home decor,0.5,Topic 4.,NA,0.000102424,0.000102424,0.000102424,0.999590304,0.000102424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,901746,We fit a variety of styles and moods you have.,0.5,Topic 3.2.,Topic 5.1.,0.000278175,0.000278175,0.251068385,0.000278175,0.748097089,NA,NA,NA,NA,NA,NA,NA,0.001651578,0.995045267,0.001651578,0.001651578,NA,NA,NA,NA,0.989751782,0.003416073,0.003416073,0.003416073
,901749,Decoration,0.931864672,Topic 4.,NA,0.000227075,0.000227075,0.000227075,0.999091701,0.000227075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,901750,That The Bay has a lot of different items for home decor.,0.5,Topic 4.,NA,5.38E-05,0.165953692,0.176878811,0.525077119,0.132036575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,901751,Multiple products for the home,0.5,Topic 4.,NA,0.000113929,0.155476559,0.000113929,0.610705528,0.233590055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,901770,We have everything we need,0.5,Topic 3.3.,NA,0.000433738,0.000433738,0.998265049,0.000433738,0.000433738,NA,NA,NA,NA,NA,NA,NA,0.001153408,0.001153408,0.996539775,0.001153408,NA,NA,NA,NA,NA,NA,NA,NA
,901771,come shop at La baie,0.5,Topic 3.4.,NA,0.00145438,0.00145438,0.99418248,0.00145438,0.00145438,NA,NA,NA,NA,NA,NA,NA,0.002106483,0.002106483,0.002106483,0.99368055,NA,NA,NA,NA,NA,NA,NA,NA
1,901772,nothing,0.5,Topic 2.3.,NA,0.007610155,0.96955938,0.007610155,0.007610155,0.007610155,NA,NA,NA,NA,0.017094365,0.017094365,0.965811271,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,901775,You can buy a bit of everything from us,0.5,Topic 3.,Topic 2.,0.000406963,0.494245407,0.504533703,0.000406963,0.000406963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,901801,You can buy stuff online from the Bay,0.5,Topic 2.3.,Topic 3.4.,0.000149156,0.498372284,0.501180247,0.000149156,0.000149156,NA,NA,NA,NA,0.005319261,0.005319261,0.989361478,0.005345888,0.005345888,0.005345888,0.983962336,NA,NA,NA,NA,NA,NA,NA,NA
,901809,We find everything to decorate our house at this store.,0.524457483,Topic 4.2.,NA,8.22E-05,8.22E-05,0.121345439,0.878407952,8.22E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.001411107,0.995766679,0.001411107,0.001411107,NA,NA,NA,NA
,901813,"Sadly the graphics at the end were not on long enough to read all 3 bullets. Basically the ad makes it seem that the brand is fun, trendy and relevant.",0.5,Topic 2.1.,NA,0.001781976,0.992872096,0.001781976,0.001781976,0.001781976,NA,NA,NA,NA,0.988200342,0.005899829,0.005899829,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,901821,the store is fun,0.5,Topic 1.1.,NA,0.995233909,0.001191523,0.001191523,0.001191523,0.001191523,0.972483179,0.009172274,0.009172274,0.009172274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,901824,I honestly couldn't tell you. I did let the ad play and I tried to play attention to it but I am exhausted from a very not great day at work. I think it was for the Bay and I think it was telling me. I can get everything I need for my house at the bay,0.5,Topic 3.3.,Topic 4.4.,8.87E-05,8.87E-05,0.520669728,0.479064319,8.87E-05,NA,NA,NA,NA,NA,NA,NA,0.001002253,0.001002253,0.996993242,0.001002253,0.001198328,0.001198328,0.001198328,0.996405017,NA,NA,NA,NA
,901827,You can buy all you want online instead of in store and save time,0.5,Topic 2.3.,Topic 2.1.,0.000398758,0.998404968,0.000398758,0.000398758,0.000398758,NA,NA,NA,NA,0.410966386,0.003149673,0.58588394,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,901833,don't know,0.5,Topic 1.,NA,0.997025747,0.000743563,0.000743563,0.000743563,0.000743563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,901837,the decor was green,0.5,Topic 4.,NA,0.000227075,0.000227075,0.000227075,0.999091701,0.000227075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,901843,Happiness,0.5,Topic 1.3.,NA,0.962307779,0.009423055,0.009423055,0.009423055,0.009423055,0.033051235,0.033051235,0.900846294,0.033051235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,901850,home decor,0.5,Topic 4.,NA,0.000102424,0.000102424,0.000102424,0.999590304,0.000102424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,901854,"not really sure, free delivery etc?",0.5,Topic 1.3.,NA,0.988011344,0.002997164,0.002997164,0.002997164,0.002997164,0.007392061,0.007392061,0.977823818,0.007392061,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,901861,don't know,0.5,Topic 1.,NA,0.997025747,0.000743563,0.000743563,0.000743563,0.000743563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,901862,Purchasing,0.647793135,Topic 2.,NA,0.0008207,0.996717201,0.0008207,0.0008207,0.0008207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,901864,You can buy items for your home from your phone with ease,2.267536732,Topic 4.,Topic 2.,0.000120525,0.353567895,0.000120525,0.646070531,0.000120525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,901873,Large selection of products,1.953089416,Topic 5.2.,NA,0.000185536,0.000185536,0.000185536,0.000185536,0.999257855,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.001216428,0.996350716,0.001216428,0.001216428
1,901885,"Products from The Bay. Other than that, nothing. Too much moving around",0.5,Topic 3.1.,Topic 5.4.,0.000182962,0.000182962,0.624611208,0.000182962,0.374839907,NA,NA,NA,NA,NA,NA,NA,0.946716643,0.017761119,0.017761119,0.017761119,NA,NA,NA,NA,0.035636457,0.035636457,0.035636457,0.893090629
,901886,The iconic Hudson Bay Colors,0.5,Topic 1.1.,Topic 3.1.,0.202451013,0.00024238,0.796821846,0.00024238,0.00024238,0.96375418,0.01208194,0.01208194,0.01208194,NA,NA,NA,0.900502065,0.033165978,0.033165978,0.033165978,NA,NA,NA,NA,NA,NA,NA,NA
,901891,You can buy multiple types of things,1.260425584,Topic 2.,Topic 5.,0.00014804,0.636298901,0.00014804,0.00014804,0.363256979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,901897,There were Hudson Bay stripes and the type of products they sell,0.5,Topic 3.1.,Topic 5.4.,0.000117657,0.000117657,0.404823322,0.000117657,0.594823708,NA,NA,NA,NA,NA,NA,NA,0.989714233,0.003428589,0.003428589,0.003428589,NA,NA,NA,NA,0.003722001,0.003722001,0.003722001,0.988833996
,901900,To shop for good deals,0.5,Topic 5.1.,NA,0.000533114,0.000533114,0.172962125,0.000533114,0.825438532,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.982601439,0.00579952,0.00579952,0.00579952
1,901903,THE BAY HAS GREAT VARIETY IN HOME GOODS TO SUIT EVERY FACET OF YOUR PERSONALITY AND EVERYONE ELSES.,0.758521511,Topic 5.3.,Topic 3.1.,7.66E-05,7.66E-05,0.267167169,0.419955297,0.312724275,NA,NA,NA,NA,NA,NA,NA,0.989714233,0.003428589,0.003428589,0.003428589,0.316664857,0.679187182,0.002073981,0.002073981,0.002740347,0.002740347,0.991778958,0.002740347
,901904,Home comfort,0.5,Topic 4.2.,NA,0.000182962,0.000182962,0.000182962,0.999268153,0.000182962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.009554181,0.971337458,0.009554181,0.009554181,NA,NA,NA,NA
1,901910,Colorful,0.5,Topic 1.,NA,0.994760422,0.001309895,0.001309895,0.001309895,0.001309895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,901919,"decorates his house, a non-essential expense",0.5,Topic 4.,NA,0.000102424,0.000102424,0.000102424,0.999590304,0.000102424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,901925,the variety of home decor and items available at Hudson's Bay,0.5,Topic 4.1.,NA,5.74E-05,0.101690588,0.190682858,0.560122218,0.147446942,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.94478505,0.018404983,0.018404983,0.018404983,NA,NA,NA,NA
,901928,trying to sell something,0.5,Topic 5.4.,NA,0.001781976,0.001781976,0.001781976,0.001781976,0.992872096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.004088115,0.004088115,0.004088115,0.987735655
,901933,They offer a lot of stuff,0.5,Topic 2.2.,NA,0.000261617,0.998953532,0.000261617,0.000261617,0.000261617,NA,NA,NA,NA,0.012987281,0.974025439,0.012987281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,901937,Stylish designs wearable by you,4.233236974,Topic 3.2.,NA,0.001035555,0.001035555,0.995857779,0.001035555,0.001035555,NA,NA,NA,NA,NA,NA,NA,0.001897434,0.994307698,0.001897434,0.001897434,NA,NA,NA,NA,NA,NA,NA,NA
,901947,Everything for your home,0.5,Topic 4.,NA,0.00015144,0.00015144,0.187026106,0.812519572,0.00015144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,901952,Shopping for household decor.,0.5,Topic 4.2.,NA,9.57E-05,9.57E-05,0.065256027,0.93445678,9.57E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00391136,0.98826592,0.00391136,0.00391136,NA,NA,NA,NA
,901957,Buy our stuff,0.797850855,Topic 2.,NA,0.000340419,0.998638325,0.000340419,0.000340419,0.000340419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,901962,No idea,5.344325927,Topic 1.,NA,0.997025747,0.000743563,0.000743563,0.000743563,0.000743563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,901963,The Bay has a good selection of home decor.,0.525781325,Topic 4.,NA,5.99E-05,5.99E-05,0.19697265,0.584724932,0.218182587,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,901969,Can go there for home decor,4.217716558,Topic 4.,NA,0.000102424,0.000102424,0.000102424,0.999590304,0.000102424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,901971,"Large selection of items for the home-decor, housewares, furniture etc.",0.5,Topic 4.3.,Topic 5.2.,6.45E-05,0.153806603,6.45E-05,0.629975649,0.216088733,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.001130161,0.001130161,0.996609516,0.001130161,0.190710709,0.807318009,0.000985641,0.000985641
,901972,Adding furniture to one's abode can be fun.,1.644062621,Topic 2.3.,NA,0.001156681,0.995373278,0.001156681,0.001156681,0.001156681,NA,NA,NA,NA,0.312709035,0.003344553,0.683946413,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,901973,Accent colors and product diversity,6,Topic 5.,NA,0.144283748,0.000189992,0.000189992,0.000189992,0.855146276,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,901976,dk,2.030366556,Topic 1.,NA,0.997025747,0.000743563,0.000743563,0.000743563,0.000743563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,901978,Home decor for everyone,0.5,Topic 4.2.,NA,9.86E-05,9.86E-05,9.86E-05,0.999605622,9.86E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.004870151,0.985389547,0.004870151,0.004870151,NA,NA,NA,NA
,901983,HBC has a wide range of items to decorate your home,2.923577738,Topic 5.2.,Topic 4.3.,6.66E-05,0.11942203,6.66E-05,0.649681054,0.230763775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00157937,0.00157937,0.99526189,0.00157937,0.00111824,0.996645281,0.00111824,0.00111824
,901986,We have everything you need to furnish your home,0.503998883,Topic 4.4.,NA,8.29E-05,8.29E-05,0.190391748,0.809359575,8.29E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.001518994,0.001518994,0.001518994,0.995443018,NA,NA,NA,NA
,901989,I saw their iconic stripes on the coffee mug,6,Topic 1.1.,Topic 1.4.,0.990799764,0.002300059,0.002300059,0.002300059,0.002300059,0.496865918,0.003134082,0.003134082,0.496865918,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,901990,That you can buy lots of decor at the bay.,0.5,Topic 4.,NA,9.74E-05,0.251205871,0.320145014,0.428454353,9.74E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,901997,Great,0.5,Topic 5.,NA,0.000838088,0.000838088,0.000838088,0.000838088,0.996647647,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,902000,The Bay has a wide variety of home decor items and styles to match your every whim.,1.348851664,Topic 3.2.,Topic 4.3.,5.24E-05,0.100394656,0.207372456,0.516423191,0.175757319,NA,NA,NA,NA,NA,NA,NA,0.266582112,0.730881559,0.001268164,0.001268164,0.000942511,0.000942511,0.617644276,0.380470702,NA,NA,NA,NA
,902007,They have all kinds of great items for decorating your home.,1.802243384,Topic 4.2.,NA,7.85E-05,0.139647804,7.85E-05,0.765699357,0.094495933,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.018404983,0.94478505,0.018404983,0.018404983,NA,NA,NA,NA
,902008,buy,0.5,Topic 2.,NA,0.0008207,0.996717201,0.0008207,0.0008207,0.0008207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,902009,variety of items to buy,4.441614755,Topic 2.,Topic 5.,0.000185536,0.544281422,0.000185536,0.000185536,0.455161969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,902010,There is a wide variety of Hudson Bay furnishings that suits every one.,3.709372069,Topic 3.1.,Topic 5.2.,0.000143216,0.000143216,0.495446668,0.000143216,0.504123685,NA,NA,NA,NA,NA,NA,NA,0.992898098,0.002367301,0.002367301,0.002367301,NA,NA,NA,NA,0.001009584,0.875512509,0.122468323,0.001009584
,902017,They have everything you need,4.435878101,Topic 3.3.,NA,0.000433738,0.000433738,0.998265049,0.000433738,0.000433738,NA,NA,NA,NA,NA,NA,NA,0.001153408,0.001153408,0.996539775,0.001153408,NA,NA,NA,NA,NA,NA,NA,NA
,902018,to get you to buy things for your home,0.5,Topic 4.,Topic 2.,0.000120525,0.353567895,0.000120525,0.646070531,0.000120525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,902020,Wide range of home decor,0.5,Topic 5.2.,Topic 4.3.,7.63E-05,7.63E-05,7.63E-05,0.744958167,0.254812832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.001877943,0.001877943,0.994366172,0.001877943,0.001216428,0.996350716,0.001216428,0.001216428
,902023,great prices awesome products and lots of variety,2.308614634,Topic 5.1.,NA,0.000137253,0.192374433,0.000137253,0.000137253,0.807213809,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.975865961,0.00804468,0.00804468,0.00804468
,902025,Wide variety furniture store.,0.5,Topic 5.2.,NA,0.000220739,0.161546672,0.000220739,0.000220739,0.837791111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.125181684,0.706751422,0.000862861,0.167204033
,902039,beautiful piece of furniture,0.5,Topic 2.3.,NA,0.001402802,0.994388791,0.001402802,0.001402802,0.001402802,NA,NA,NA,NA,0.004444538,0.004444538,0.991110923,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,902045,giid,5.368965836,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,902052,NOTHING,4.400731837,Topic 2.3.,NA,0.007610155,0.96955938,0.007610155,0.007610155,0.007610155,NA,NA,NA,NA,0.017094365,0.017094365,0.965811271,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,902055,No idea,6,Topic 1.,NA,0.997025747,0.000743563,0.000743563,0.000743563,0.000743563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,902056,don't know,0.5,Topic 1.,NA,0.997025747,0.000743563,0.000743563,0.000743563,0.000743563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,902062,Furniture and home accessories can be found at the Bay,1.348851664,Topic 4.2.,Topic 3.3.,7.02E-05,7.02E-05,0.300706612,0.699082685,7.02E-05,NA,NA,NA,NA,NA,NA,NA,0.001726131,0.001726131,0.63369598,0.362851759,0.001411107,0.995766679,0.001411107,0.001411107,NA,NA,NA,NA
,902065,For your home decor needs come to the Bay,6,Topic 3.3.,Topic 4.4.,7.09E-05,7.09E-05,0.308206833,0.691580576,7.09E-05,NA,NA,NA,NA,NA,NA,NA,0.001153408,0.001153408,0.996539775,0.001153408,0.001518994,0.001518994,0.001518994,0.995443018,NA,NA,NA,NA
,902066,stuff,5.003822532,Topic 2.,NA,0.000580018,0.99767993,0.000580018,0.000580018,0.000580018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,902068,because they are an online seller,0.5,Topic 2.3.,NA,0.002060442,0.991758233,0.002060442,0.002060442,0.002060442,NA,NA,NA,NA,0.005319261,0.005319261,0.989361478,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,902069,that the store sells a variety of things,0.66709995,Topic 5.4.,Topic 2.1.,0.000188184,0.375028599,0.000188184,0.000188184,0.624406848,NA,NA,NA,NA,0.566719022,0.007547328,0.42573365,NA,NA,NA,NA,NA,NA,NA,NA,0.002287802,0.002287802,0.002287802,0.993136593
,902070,Great variety of home decor for every personality,0.5,Topic 4.1.,Topic 5.4.,7.36E-05,7.36E-05,7.36E-05,0.723802639,0.27597646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.980645078,0.006451641,0.006451641,0.006451641,0.009975599,0.009975599,0.009975599,0.970073202
,902071,Not sure,0.5,Topic 1.,NA,0.997025747,0.000743563,0.000743563,0.000743563,0.000743563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,902072,Wandering about the house decorating.,0.798787753,Topic 4.,NA,0.000102424,0.000102424,0.000102424,0.999590304,0.000102424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,902075,Wide range of products,0.5,Topic 5.2.,NA,0.000185536,0.000185536,0.000185536,0.000185536,0.999257855,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.001216428,0.996350716,0.001216428,0.001216428
,902082,completely uncertain,2.923577738,Topic 1.,NA,0.997025747,0.000743563,0.000743563,0.000743563,0.000743563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,902084,Good class service,6,Topic 5.1.,NA,0.00077261,0.00077261,0.00077261,0.00077261,0.996909561,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.942443064,0.019185645,0.019185645,0.019185645
,902089,I dont know,0.66709995,Topic 1.,NA,0.997025747,0.000743563,0.000743563,0.000743563,0.000743563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,902093,They offer everything you need in home decor,0.5,Topic 3.3.,Topic 4.4.,7.81E-05,7.81E-05,0.217267467,0.782498103,7.81E-05,NA,NA,NA,NA,NA,NA,NA,0.000794113,0.312301472,0.686110302,0.000794113,0.42161607,0.000879898,0.000879898,0.576624133,NA,NA,NA,NA
,902094,Home decor and accessories,5.156714547,Topic 4.,NA,0.000102424,0.000102424,0.000102424,0.999590304,0.000102424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,902095,"You can buy what makes you an individual especially if that changes throughout the day, etc.",3.360240838,Topic 2.1.,NA,0.000668199,0.997327203,0.000668199,0.000668199,0.000668199,NA,NA,NA,NA,0.974025439,0.012987281,0.012987281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,902097,Hudson's Bay sells everything needed for a nice home,0.5,Topic 3.3.,Topic 4.4.,8.50E-05,8.50E-05,0.493749385,0.505995524,8.50E-05,NA,NA,NA,NA,NA,NA,NA,0.159405838,0.000866055,0.838862051,0.000866055,0.000808302,0.000808302,0.366967532,0.631415864,NA,NA,NA,NA
,902098,They have a lot of great home decor items and furniture options,0.5,Topic 4.2.,Topic 2.3.,6.70E-05,0.260174239,6.70E-05,0.659958258,0.07973346,NA,NA,NA,NA,0.352755902,0.003149673,0.644094425,NA,NA,NA,NA,0.001715764,0.994852708,0.001715764,0.001715764,NA,NA,NA,NA
,902102,store good for men women house .,3.17886354,Topic 4.2.,NA,0.000140171,0.000140171,0.000140171,0.80277697,0.196802518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003019641,0.990941078,0.003019641,0.003019641,NA,NA,NA,NA
,902106,That you can find merchandise for your home,1.348851664,Topic 4.2.,NA,0.000163998,0.000163998,0.000163998,0.999344009,0.000163998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.002315718,0.993052845,0.002315718,0.002315718,NA,NA,NA,NA
,902111,That The Bay has many options to choose from when shopping their for home decor and products with flexibility for returns and shipping,6,Topic 4.2.,Topic 3.4.,5.55E-05,0.082993856,0.234324972,0.558567342,0.12405829,NA,NA,NA,NA,NA,NA,NA,0.001268164,0.001268164,0.001268164,0.996195507,0.001130161,0.996609516,0.001130161,0.001130161,NA,NA,NA,NA
,902113,many new products and choices for your home decor,0.702513064,Topic 4.2.,Topic 5.4.,6.35E-05,0.093009978,6.35E-05,0.620976663,0.285886414,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.009554181,0.971337458,0.009554181,0.009554181,0.035636457,0.035636457,0.035636457,0.893090629
,902116,The cushions in the commercial are the same colors as The Bay logo,2.188675975,Topic 1.2.,Topic 3.4.,0.235628659,0.000228386,0.763686184,0.000228386,0.000228386,0.003751493,0.988745521,0.003751493,0.003751493,NA,NA,NA,0.005345888,0.005345888,0.005345888,0.983962336,NA,NA,NA,NA,NA,NA,NA,NA
,902119,It has lots of decor items,0.57169237,Topic 4.,Topic 2.,0.000133546,0.412019709,0.000133546,0.587579654,0.000133546,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,902121,Good products online,2.923577738,Topic 5.1.,NA,0.000268726,0.129346804,0.000268726,0.000268726,0.869847018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.942443064,0.019185645,0.019185645,0.019185645
,902129,bay merch,5.450942639,Topic 3.,NA,0.000303814,0.000303814,0.998784744,0.000303814,0.000303814,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,902138,"Hudson's Bay has your style all ready to hang up, just come on by & pick it out!",3.820739241,Topic 3.2.,Topic 4.4.,0.000116273,0.000116273,0.47923818,0.520413,0.000116273,NA,NA,NA,NA,NA,NA,NA,0.001897434,0.994307698,0.001897434,0.001897434,0.001971099,0.001971099,0.001971099,0.994086702,NA,NA,NA,NA
,902139,Update your home decor,0.5,Topic 4.4.,NA,0.000101634,0.000101634,0.000101634,0.999593462,0.000101634,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.018404983,0.018404983,0.018404983,0.94478505,NA,NA,NA,NA
,902144,Different decor's to suit everyone's taste,0.5,Topic 4.4.,Topic 5.3.,0.000121636,0.000121636,0.100636804,0.551536199,0.347583724,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.001362713,0.389095754,0.001362713,0.608178819,0.448351274,0.002060908,0.54752691,0.002060908
,902161,so much to buy there.,3.906284712,Topic 2.,NA,0.0008207,0.996717201,0.0008207,0.0008207,0.0008207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,902163,home furnishing,0.791435298,Topic 4.,NA,0.000102424,0.000102424,0.000102424,0.999590304,0.000102424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,902173,Logo,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,902181,guess,2.238119943,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,902193,"I do not know, sorry",0.5,Topic 1.,NA,0.997025747,0.000743563,0.000743563,0.000743563,0.000743563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,902194,I have no clue,3.906284712,Topic 1.,NA,0.997025747,0.000743563,0.000743563,0.000743563,0.000743563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,902196,Decor for everyone,6,Topic 4.2.,NA,0.000209072,0.000209072,0.000209072,0.999163713,0.000209072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.004870151,0.985389547,0.004870151,0.004870151,NA,NA,NA,NA
